region;birth_2021;birth_2020;birth_perc;death_2021;death_2020;death_prec;marr_2021;marr_2020;marr_prec;div_2021;div_2020;div_prec;pop_prec_2021;pop_prec_2020
   Российская Федерация;678112;680974;99,6;1100044;946539;116,2;368440;273968;134,5;307567;220688;139,4;162,2;139,0
  Центральный федеральный округ;168825;168378;100,3;320761;274917;116,7;102516;71431;143,5;81315;56225;144,6;190,0;163,3
Белгородская область;5801;5928;97,9;12197;10498;116,2;3743;2628;142,4;3170;2901;109,3;210,3;177,1
Брянская область;4313;4513;95,6;11234;9509;118,1;2582;1847;139,8;2423;1947;124,4;260,5;210,7
Владимирская область;4782;4690;102,0;12908;11406;113,2;2868;2105;136,2;2757;1830;150,7;269,9;243,2
Воронежская область;8987;8996;99,9;20064;16995;118,1;5701;4233;134,7;4590;3910;117,4;223,3;188,9
Ивановская область;3586;3691;97,2;9059;8004;113,2;2059;1587;129,7;1999;1682;118,8;252,6;216,9
Калужская область;4126;4262;96,8;8972;7858;114,2;2816;1948;144,6;2524;1619;155,9;217,5;184,4
Костромская область;2389;2731;87,5;5470;4761;114,9;1280;996;128,5;1277;935;136,6;229,0;174,3
Курская область;4246;4249;99,9;11008;8886;123,9;2632;1863;141,3;2244;1806;124,3;259,3;209,1
Липецкая область;4352;4527;96,1;10643;8875;119,9;2637;2062;127,9;2525;2076;121,6;244,6;196,0
Московская область;35192;39261;89,6;59298;52936;112,0;24100;15513;155,4;18119;11507;157,5;168,5;134,8
Орловская область;2580;2728;94,6;7243;5713;126,8;1681;1061;158,4;1514;979;154,6;280,7;209,4
Рязанская область;4098;4179;98,1;10678;8858;120,5;2359;1688;139,8;2444;1566;156,1;260,6;212,0
Смоленская область;3005;3200;93,9;8673;7449;116,4;2181;1570;138,9;1938;1584;122,3;288,6;232,8
Тамбовская область;3458;3630;95,3;9434;8070;116,9;1999;1570;127,3;1853;1407;131,7;272,8;222,3
Тверская область;4617;4842;95,4;12917;10964;117,8;2822;2305;122,4;2609;1876;139,1;279,8;226,4
Тульская область;5021;5197;96,6;14427;12762;113,0;3427;2322;147,6;2953;2155;137,0;287,3;245,6
Ярославская область;5053;5044;100,2;11404;9700;117,6;3032;2185;138,8;2795;1628;171,7;225,7;192,3
г.Москва;63219;56710;111,5;85132;71673;118,8;34597;23948;144,5;23581;14817;159,1;134,7;126,4
  Северо-Западный федеральный округ;60285;60570;99,5;111430;93750;118,9;39176;29198;134,2;31373;22978;136,5;184,8;154,8
Республика Карелия;2534;2541;99,7;5838;4537;128,7;1474;1006;146,5;1252;999;125,3;230,4;178,6
Республика Коми;3564;3678;96,9;5538;4831;114,6;1904;1462;130,2;1775;1374;129,2;155,4;131,3
Архангельская область;4518;4631;97,6;9197;7573;121,4;2645;1957;135,2;2516;1786;140,9;203,6;163,5
Hенецкий авт.округ;269;283;95,1;226;204;110,8;97;79;122,8;85;62;137,1;84,0;72,1
Архангельская область без автономии;4249;4348;97,7;8971;7369;121,7;2548;1878;135,7;2431;1724;141,0;211,1;169,5
Вологодская область;5032;5358;93,9;9580;8192;116,9;2523;1934;130,5;2356;1864;126,4;190,4;152,9
Калининградская область;4433;4362;101,6;7309;6088;120,1;2998;2315;129,5;2458;2134;115,2;164,9;139,6
Ленинградская область;6581;6495;101,3;15607;13277;117,5;3101;2445;126,8;3614;2687;134,5;237,2;204,4
Мурманская область;2937;3147;93,3;5165;4372;118,1;2182;1820;119,9;1882;1515;124,2;175,9;138,9
Новгородская область;2305;2310;99,8;6157;5103;120,7;1268;934;135,8;1286;1046;122,9;267,1;220,9
Псковская область;2544;2447;104,0;6420;5501;116,7;1401;1083;129,4;1361;1066;127,7;252,4;224,8
г.Санкт-Петербург;25837;25601;100,9;40619;34276;118,5;19680;14242;138,2;12873;8507;151,3;157,2;133,9
  Южный федеральный округ;73616;72586;101,4;129046;107244;120,3;41538;29849;139,2;34531;25555;135,1;175,3;147,7
Республика Адыгея;2065;2048;100,8;3320;2805;118,4;847;628;134,9;822;624;131,7;160,8;137,0
Республика Калмыкия;1272;1294;98,3;1578;1329;118,7;459;337;136,2;520;351;148,1;124,1;102,7
Республика Крым;8727;8816;99,0;15621;13594;114,9;4643;3587;129,4;3282;2870;114,4;179,0;154,2
Краснодарский край;28244;27261;103,6;44012;35513;123,9;16968;11541;147,0;13253;9080;146,0;155,8;130,3
Астраханская область;5031;4952;101,6;6654;5983;111,2;2190;1706;128,4;2369;1618;146,4;132,3;120,8
Волгоградская область;9255;9244;100,1;19971;16897;118,2;4886;3839;127,3;4966;3714;133,7;215,8;182,8
Ростовская область;17027;17051;99,9;34409;28271;121,7;10026;7165;139,9;8244;6646;124,0;202,1;165,8
г.Севастополь;1995;1920;103,9;3481;2852;122,1;1519;1046;145,2;1075;652;164,9;174,5;148,5
   Северо-Кавказский федеральный округ;61787;62478;98,9;43690;38340;114,0;19673;16215;121,3;13861;8265;167,7;70,7;61,4
Республика Дагестан;20891;20386;102,5;8753;8165;107,2;5772;4676;123,4;3238;1742;185,9;41,9;40,1
Республика Ингушетия;3914;3910;100,1;1022;822;124,3;752;799;94,1;518;150;345,3;26,1;21,0
Кабардино-Балкарская Республика;4802;4971;96,6;4444;3845;115,6;1764;1185;148,9;1272;853;149,1;92,5;77,3
Карачаево-Черкесская Республика;2196;2462;89,2;2595;2115;122,7;862;617;139,7;963;474;203,2;118,2;85,9
Республика Северная Осетия- Алания;3729;3617;103,1;4269;3775;113,1;1271;1054;120,6;1254;605;207,3;114,5;104,4
Чеченская Республика;13476;14169;95,1;3679;3560;103,3;3537;3491;101,3;1184;443;267,3;27,3;25,1
Ставропольский край;12779;12963;98,6;18928;16058;117,9;5715;4393;130,1;5432;3998;135,9;148,1;123,9
   Приволжский федеральный округ;127262;130804;97,3;228940;199432;114,8;65239;48966;133,2;57248;42879;133,5;179,9;152,5
Республика Башкортостан;19289;20156;95,7;28348;25249;112,3;9172;7248;126,5;7591;6020;126,1;147,0;125,3
Республика Марий Эл;3079;3168;97,2;4985;4211;118,4;1233;928;132,9;1162;873;133,1;161,9;132,9
Республика Мордовия;2532;2661;95,2;6578;5741;114,6;1336;969;137,9;1255;919;136,6;259,8;215,7
Республика Татарстан;19680;20054;98,1;25532;23381;109,2;9370;6561;142,8;7234;4610;156,9;129,7;116,6
Удмуртская Республика;6956;7093;98,1;10273;8927;115,1;3229;2307;140,0;2615;2026;129,1;147,7;125,9
Чувашская Республика(Чувашия);5334;5448;97,9;9368;8439;111,0;2115;1605;131,8;2080;1384;150,3;175,6;154,9
Пермский край;12301;12446;98,8;18799;17510;107,4;6684;4740;141,0;5535;4054;136,5;152,8;140,7
Кировская область;5102;5042;101,2;11649;9170;127,0;2516;2098;119,9;2489;2027;122,8;228,3;181,9
