region_df;region_rosstat
Адыгея;Республика Адыгея
Алтай;Республика Алтай
Алтайский край;Алтайский край
Башкортостан;Республика Башкортостан
Белгородская область;Белгородская область
Брянская область;Брянская область
Волгоградская область;Волгоградская область
Вологодская область;Вологодская область
Воронежская область;Воронежская область
Ивановская область;Ивановская область
Иркутская область;Иркутская область
Калининградская область;Калининградская область
Калужская область;Калужская область
Карелия;Республика Карелия
Кемеровская область;Кемеровская область
Кировская область;Кировская область
Коми;Республика Коми
Костромская область;Костромская область
Краснодарский край;Краснодарский край
Красноярский край;Красноярский край 
Курская область;Курская область
Ленинградская область;Ленинградская область
Липецкая область;Липецкая область
Мордовия;Республика Мордовия
Москва;г. Москва
Московская область;Московская область
Нижегородская область;Нижегородская область
Новосибирская область;Новосибирская область
Омская область;Омская область
Орловская область;Орловская область
Пензенская область;Пензенская область
Пермский край;Пермский край
Приморский край;Приморский край
Ростовская область;Ростовская область
Самарская область;Самарская область
Санкт-Петербург;г.Санкт-Петербург 
Саратовская область;Саратовская область
Свердловская область;Свердловская область
Смоленская область;Смоленская область
Ставропольский край;Ставропольский край
Татарстан;Республика Татарстан
Томская область;Томская область
Тульская область;Тульская область
Тюменская область;Тюменская область
Удмуртия;Удмуртская Республика
Ульяновская область;Ульяновская область
Ханты-Мансийский АО;Ханты-Мансийский автономный округ-Югра
Челябинская область;Челябинская область
Ярославская область;Ярославская область
