region;salary_overdue
Российская Федерация;1537971
Центральный федеральный округ;391321
Белгородская область;-
Брянская область;-
Владимирская область;-
Воронежская область;5497
Ивановская область;-
Калужская область;24432
Костромская область;3953
Курская область;36757
Липецкая область;10032
Московская область;87856
Орловская область;4402
Рязанская область;18424
Смоленская область;41275
Тамбовская область;66002
Тверская область;5857
Тульская область;-
Ярославская область;3486
г. Москва;83348
Северо-Западный федеральный округ;226946
Республика Карелия;10060
Республика Коми;35673
Архангельская область;68095
в том числе Ненецкий авт.округ;17353
Архангельская область (кроме Ненецкого авт.округа);50742
Вологодская область;22091
Калининградская область;21380
Ленинградская область;5648
Мурманская область;24492
Новгородская область;7792
Псковская область;2314
г.Санкт-Петербург;29401
Южный федеральный округ;248127
Республика Адыгея;-
Республика Калмыкия;959
Республика Крым;58537
Краснодарский край;65796
Астраханская область;6024
Волгоградская область;34362
Ростовская область;77829
г.Севастополь;4620
Северо-Кавказский федеральный округ;87403
Республика Дагестан;12659
Республика Ингушетия;-
Кабардино-Балкарская Республика;2322
Карачаево-Черкесская Республика;460
Республика Северная Осетия-Алания;8930
Чеченская Республика;-
Ставропольский край;63032
Приволжский федеральный округ;150025
Республика Башкортостан;45879
Республика Марий Эл;3608
Республика Мордовия;2786
Республика Татарстан ;48598
Удмуртская Республика;5235
Чувашская Республика;4395
Пермский край;3904
Кировская область;6119
Нижегородская область;417
Оренбургская область;6058
Пензенская область;4326
Самарская область;4562
Саратовская область;12320
Ульяновская область;1818
Уральский федеральный округ;32874
Курганская область;-
Свердловская область;32874
Тюменская область;-
Ханты-Мансийский автономный округ-Югра;-
Ямало-Ненецкий авт.округ;-
Тюменская область(кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого авт.округа);-
Челябинская область;-
Сибирский федеральный округ;204130
Республика Алтай;-
Республика Тыва;8524
Республика Хакасия;744
Алтайский край;11022
Красноярский край;46303
Иркутская область;8459
Кемеровская область;88949
Новосибирская область;25918
Омская область;6804
Томская область;7407
Дальневосточный федеральный округ;197145
Республика Бурятия;25909
Республика Саха (Якутия);24981
Забайкальский край;8024
Камчатский край;9420
Приморский край;16288
Хабаровский край;107321
Амурская область;-
Магаданская область;-
Сахалинская область;709
Еврейская авт.область;4493
Чукотский авт.округ;-
