region;salaty_quart_mean_month_1_2021
Российская Федерация;45041
Центральный федеральный округ;56552
Белгородская область;33824
Брянская область;27963
Владимирская область;31012
Воронежская область;32110
Ивановская область;25098
Калужская область;38704
Костромская область;28886
Курская область;32222
Липецкая область;32648
Московская область;49911
Орловская область;28897
Рязанская область;33029
Смоленская область;29880
Тамбовская область;27114
Тверская область;32312
Тульская область;34480
Ярославская область;33885
г. Москва;81827
Северо-Западный федеральный округ;51562
Республика Карелия;41427
Республика Коми;52496
Архангельская область;50936
   в том числе:;
   Ненецкий авт. округ;92285
   Архангельская область (без авт. округа);48105
Вологодская область;37518
Калининградская область;33810
Ленинградская область;42848
Мурманская область;63853
Новгородская область;32229
Псковская область;29104
г. Санкт-Петербург;60801
Южный федеральный округ;31131
Республика Адыгея;29295
Республика Калмыкия;26058
Республика Крым;29600
Краснодарский край;32904
Астраханская область;31357
Волгоградская область;29022
Ростовская область;30647
г. Севастополь;33600
Северо-Кавказский федеральный округ;25253
Республика Дагестан;23109
Республика Ингушетия;25004
Кабардино-Балкарская Республика;22397
Карачаево-Черкесская Республика;24915
Республика Северная Осетия - Алания;25556
Чеченская Республика;24947
Ставропольский край;27589
Приволжский федеральный округ;33159
Республика Башкортостан;34764
Республика Марий Эл;28518
Республика Мордовия;27009
Республика Татарстан;36569
Удмуртская Республика;31783
Чувашская Республика;29137
Пермский край;36169
Кировская область;28650
Нижегородская область;34832
Оренбургская область;32975
Пензенская область;28791
Самарская область;33920
Саратовская область;29846
Ульяновская область;29159
Уральский федеральный округ;49791
Курганская область;29891
Свердловская область;41159
Тюменская область;71097
   в том числе:;
Ханты-Мансийский автономный округ-Югра;71979
   Ямало-Ненецкий авт. округ;106409
Тюменская область (без авт. округов);46455
Челябинская область;34838
Сибирский федеральный округ;39353
Республика Алтай;32497
Республика Тыва;38636
Республика Хакасия;38410
Алтайский край;25846
Красноярский край;49465
Иркутская область;45137
Кемеровская область;39436
Новосибирская область;37927
Омская область;32840
Томская область;39951
Дальневосточный федеральный округ1);53134
Республика Бурятия;36524
Республика Саха (Якутия);70818
Забайкальский край;39202
Камчатский край;76624
Приморский край;44061
Хабаровский край;50428
Амурская область;47924
Магаданская область;90116
Сахалинская область;75928
Еврейская авт. область;40878
Чукотский авт. округ;114554
